=== ЛОГ ЭПИЗОДА 100 ===
Цель находится в позиции: [-1.3061504  -0.49281315]
--------------------------------------------------
Шаг: 000 | Действие: 0 | Поз: (-0.00, -0.04) | Угол: -0.02 | Награда: 0.55
Шаг: 001 | Действие: 0 | Поз: (-0.00, -0.05) | Угол: -0.02 | Награда: 0.14
Шаг: 002 | Действие: 4 | Поз: (0.00, -0.05) | Угол: -0.02 | Награда: -0.20
Шаг: 003 | Действие: 4 | Поз: (0.00, -0.05) | Угол: -0.02 | Награда: 0.02
Шаг: 004 | Действие: 2 | Поз: (0.00, -0.05) | Угол: -0.02 | Награда: 0.03
Шаг: 005 | Действие: 0 | Поз: (0.00, -0.06) | Угол: -0.02 | Награда: 0.21
Шаг: 006 | Действие: 4 | Поз: (0.00, -0.06) | Угол: -0.02 | Награда: 0.12
Шаг: 007 | Действие: 3 | Поз: (0.00, -0.06) | Угол: -0.02 | Награда: -0.06
Шаг: 008 | Действие: 3 | Поз: (0.00, -0.06) | Угол: -0.02 | Награда: 0.01
Шаг: 009 | Действие: 1 | Поз: (0.00, -0.05) | Угол: -0.01 | Награда: -0.23
Шаг: 010 | Действие: 2 | Поз: (0.00, -0.05) | Угол: -0.01 | Награда: -0.13
Шаг: 011 | Действие: 4 | Поз: (0.00, -0.05) | Угол: -0.01 | Награда: -0.06
Шаг: 012 | Действие: 4 | Поз: (0.00, -0.05) | Угол: -0.01 | Награда: -0.01
Шаг: 013 | Действие: 2 | Поз: (0.00, -0.04) | Угол: -0.01 | Награда: 0.05
Шаг: 014 | Действие: 3 | Поз: (0.00, -0.04) | Угол: -0.01 | Награда: -0.01
Шаг: 015 | Действие: 3 | Поз: (0.00, -0.04) | Угол: -0.01 | Награда: -0.02
Шаг: 016 | Действие: 0 | Поз: (-0.00, -0.05) | Угол: -0.01 | Награда: 0.42
Шаг: 017 | Действие: 2 | Поз: (0.02, -0.05) | Угол: -0.01 | Награда: -2.28
Шаг: 018 | Действие: 2 | Поз: (0.02, -0.05) | Угол: -0.02 | Награда: 0.21
Шаг: 019 | Действие: 1 | Поз: (0.02, -0.05) | Угол: -0.02 | Награда: 0.07
Шаг: 020 | Действие: 4 | Поз: (0.02, -0.05) | Угол: -0.02 | Награда: 0.10
Шаг: 021 | Действие: 0 | Поз: (0.01, -0.05) | Угол: -0.02 | Награда: 0.33
Шаг: 022 | Действие: 3 | Поз: (0.01, -0.05) | Угол: -0.02 | Награда: 0.20
Шаг: 023 | Действие: 3 | Поз: (0.01, -0.06) | Угол: -0.02 | Награда: 0.20
Шаг: 024 | Действие: 0 | Поз: (0.01, -0.06) | Угол: -0.02 | Награда: 0.37
Шаг: 025 | Действие: 4 | Поз: (0.01, -0.06) | Угол: -0.02 | Награда: 0.13
Шаг: 026 | Действие: 2 | Поз: (0.01, -0.06) | Угол: -0.02 | Награда: 0.06
Шаг: 027 | Действие: 3 | Поз: (0.01, -0.07) | Угол: -0.02 | Награда: 0.14
Шаг: 028 | Действие: 4 | Поз: (0.01, -0.07) | Угол: -0.02 | Награда: 0.06
Шаг: 029 | Действие: 1 | Поз: (0.00, -0.07) | Угол: -0.02 | Награда: 0.23
Шаг: 030 | Действие: 3 | Поз: (0.00, -0.06) | Угол: -0.02 | Награда: -0.11
Шаг: 031 | Действие: 4 | Поз: (0.00, -0.06) | Угол: -0.02 | Награда: 0.01
Шаг: 032 | Действие: 4 | Поз: (0.00, -0.06) | Угол: -0.02 | Награда: 0.01
Шаг: 033 | Действие: 0 | Поз: (0.00, -0.07) | Угол: -0.02 | Награда: 0.40
Шаг: 034 | Действие: 3 | Поз: (0.00, -0.07) | Угол: -0.02 | Награда: 0.12
Шаг: 035 | Действие: 1 | Поз: (-0.00, -0.07) | Угол: -0.02 | Награда: 0.19
Шаг: 036 | Действие: 2 | Поз: (-0.00, -0.06) | Угол: -0.02 | Награда: -0.13
Шаг: 037 | Действие: 1 | Поз: (-0.00, -0.06) | Угол: -0.02 | Награда: -0.13
Шаг: 038 | Действие: 1 | Поз: (-0.00, -0.05) | Угол: -0.02 | Награда: -0.26
Шаг: 039 | Действие: 2 | Поз: (0.00, -0.05) | Угол: -0.02 | Награда: -0.31
Шаг: 040 | Действие: 1 | Поз: (-0.00, -0.04) | Угол: -0.01 | Награда: -0.18
Шаг: 041 | Действие: 3 | Поз: (0.00, -0.04) | Угол: -0.01 | Награда: -0.19
Шаг: 042 | Действие: 0 | Поз: (-0.00, -0.04) | Угол: -0.02 | Награда: 0.24
Шаг: 043 | Действие: 2 | Поз: (0.00, -0.04) | Угол: -0.02 | Награда: -0.15
Шаг: 044 | Действие: 4 | Поз: (0.00, -0.04) | Угол: -0.02 | Награда: 0.02
Шаг: 045 | Действие: 3 | Поз: (0.00, -0.04) | Угол: -0.02 | Награда: 0.01
Шаг: 046 | Действие: 1 | Поз: (0.00, -0.04) | Угол: -0.01 | Награда: -0.09
Шаг: 047 | Действие: 0 | Поз: (0.00, -0.04) | Угол: -0.02 | Награда: 0.10
Шаг: 048 | Действие: 2 | Поз: (0.00, -0.05) | Угол: -0.02 | Награда: 0.16
Шаг: 049 | Действие: 1 | Поз: (-0.00, -0.05) | Угол: -0.02 | Награда: 0.25
Шаг: 050 | Действие: 1 | Поз: (0.01, -0.05) | Угол: -0.02 | Награда: -1.61
Шаг: 051 | Действие: 3 | Поз: (0.01, -0.05) | Угол: -0.01 | Награда: 0.07
Шаг: 052 | Действие: 1 | Поз: (0.01, -0.04) | Угол: -0.01 | Награда: -0.00
Шаг: 053 | Действие: 4 | Поз: (0.01, -0.04) | Угол: -0.01 | Награда: 0.08
